OverNumber,BallNumber,BowlerName,BatsmanName,BatsmansHand,BowlerReleaseSpeed,BounceX,BounceY,StumpsY,StumpsZ,Swing,Deviation,RunsScored,ShotLandingX,ShotLandingY,TrajectoryTime,TrajectoryDate,BounceVelocity,OutOfBounceAngle,DropAngle,AngleLeavingBowlersHand,ShotPlayed,ShotType,BowlerReleaseYposition,BowlerReleaseZposition,AccelerationY,AccelerationZ,no_idea
38, 6, JAMES-ANDERSON, HENRY-NICHOLLS, L, 83.772, 6.19, 0.51, 0.49, 0.81, 1.85, 1.30, 0, 0.000, 0.000, 14:39:21, 2022/06/10, -0.641001, 8.806999, -12.685676, -6.279758, N, N, 1.026467, 2.062059, 3.740602, -0.544058, 0.220892
39, 1, BEN-STOKES, DEVON-CONWAY, L, 82.510, 6.09, 0.57, 0.50, 0.67, 1.61, -0.26, 0, 0.000, 0.000, 14:40:22, 2022/06/10, -0.588122, 7.697783, -12.091829, -6.398519, N, N, 0.831180, 2.016512, 3.006419, 1.064609, 0.184980
39, 2, BEN-STOKES, DEVON-CONWAY, L, 81.692, 3.34, 0.54, 0.59, 0.46, 3.29, 0.25, 0, 0.000, 0.000, 14:40:52, 2022/06/10, -0.664891, 8.429504, -11.469898, -4.037153, P, A, 0.827782, 2.039154, 4.691883, 0.544430, 0.448194
39, 3, BEN-STOKES, DEVON-CONWAY, L, 83.285, 5.40, 0.20, 0.12, 0.65, 0.75, 1.00, 0, 0.000, 0.000, 14:41:22, 2022/06/10, -0.637968, 7.998549, -11.596939, -5.962539, P, A, 0.684071, 2.021363, 1.604111, 1.563284, 0.108913
39, 4, BEN-STOKES, DEVON-CONWAY, L, 80.790, 8.48, 0.67, 0.85, 0.90, 1.68, 0.83, 0, 0.000, 0.000, 14:41:53, 2022/06/10, -0.573629, 8.249780, -13.389904, -8.769272, E, A, 0.764985, 1.980376, 3.587025, 1.523381, 0.149036
39, 5, BEN-STOKES, DEVON-CONWAY, L, 85.618, 2.84, 0.08, -0.03, 0.30, -0.54, 0.58, 3, 118.000, -84.000, 14:42:26, 2022/06/10, -0.551738, 6.089825, -10.684530, -4.332731, P, A, 0.738054, 2.043751, -0.382099, 1.613469, -0.035597
39, 6, BEN-STOKES, HENRY-NICHOLLS, L, 83.921, 5.55, 0.46, 0.51, 0.71, 1.85, 1.05, -1, 0.000, 0.000, 14:43:13, 2022/06/10, -0.658333, 8.363383, -11.732986, -6.343844, E, D, 0.780140, 2.061368, 3.451722, 1.696458, 0.222992
40, 1, JAMES-ANDERSON, DEVON-CONWAY, L, 83.494, 6.19, 0.30, 0.06, 0.67, 0.92, 0.50, 1, 4.000, -11.000, 14:47:30, 2022/06/10, -0.564095, 7.340525, -11.967839, -6.861584, P, A, 0.988074, 2.067823, 2.207440, 1.779172, 0.128901
40, 2, JAMES-ANDERSON, DARYL-MITCHELL, R, 83.023, 8.42, -0.30, -0.23, 0.97, -1.11, -0.69, 0, 0.000, 0.000, 14:48:28, 2022/06/10, -0.582733, 8.513715, -13.552606, -8.849517, P, D, -0.594376, 2.027108, -2.700890, 0.963466, -0.107773
40, 3, JAMES-ANDERSON, DARYL-MITCHELL, R, 80.407, 7.48, -0.74, -0.89, 1.11, -2.17, -0.91, 0, 0.000, 0.000, 14:49:02, 2022/06/10, -0.735518, 10.219957, -12.616450, -8.201755, N, N, -0.900488, 2.056107, -4.324814, 2.619980, -0.213318
40, 4, JAMES-ANDERSON, DARYL-MITCHELL, R, 79.800, 7.58, -0.48, -0.41, 0.94, -0.71, -0.96, 0, 0.000, 0.000, 14:49:34, 2022/06/10, -0.676013, 8.624585, -12.140200, -8.782811, N, N, -0.827850, 2.058352, -1.679566, 4.637463, -0.080640
40, 5, JAMES-ANDERSON, DARYL-MITCHELL, R, 82.495, 5.39, -0.22, -0.09, 0.65, -1.32, -0.10, 0, 0.000, 0.000, 14:50:07, 2022/06/10, -0.622710, 7.896928, -11.442814, -6.334244, P, A, -0.719058, 2.070488, -2.512889, 2.598408, -0.173507
40, 6, JAMES-ANDERSON, DARYL-MITCHELL, R, 83.320, 4.42, -0.38, -0.43, 0.56, -2.17, -0.74, 1, 20.000, -18.000, 14:50:41, 2022/06/10, -0.633370, 7.823854, -11.315289, -5.401552, P, A, -0.669024, 2.079942, -3.552226, 1.766703, -0.279746
41, 1, BEN-STOKES, DARYL-MITCHELL, R, 80.645, 6.32, -0.60, -0.67, 0.88, -3.21, 0.30, 0, 0.000, 0.000, 14:51:59, 2022/06/10, -0.686298, 9.491872, -12.518598, -6.284668, N, N, -0.769294, 2.020885, -5.567348, 0.357334, -0.345913
41, 2, BEN-STOKES, DARYL-MITCHELL, R, 81.698, 7.22, -0.53, -0.62, 0.87, -2.61, -0.73, 0, 0.000, 0.000, 14:52:33, 2022/06/10, -0.608670, 8.571544, -12.818445, -7.336522, N, N, -0.800642, 2.023246, -5.252029, 0.521556, -0.265983
41, 3, BEN-STOKES, DARYL-MITCHELL, R, 84.505, 4.51, -0.44, -0.48, 0.60, -2.82, -0.25, 0, 0.000, 0.000, 14:53:07, 2022/06/10, -0.647164, 8.387298, -11.765171, -4.896914, P, A, -0.736628, 2.041702, -4.737848, -0.153018, -0.356067
41, 4, BEN-STOKES, DARYL-MITCHELL, R, 80.437, 9.25, -0.11, 0.34, 1.17, -1.13, -0.19, 2, -131.000, 47.000, 14:53:44, 2022/06/10, -0.611355, 9.666471, -14.275834, -9.780345, P, A, -0.674194, 1.996988, -3.142058, 0.911078, -0.109265
41, 5, BEN-STOKES, DARYL-MITCHELL, R, 83.435, 12.62, -0.44, 0.04, 2.21, 0.86, -2.12, 0, 0.000, 0.000, 14:54:25, 2022/06/10, -0.578684, 13.344052, -19.776700, -16.807626, P, D, -0.818256, 1.969030, 2.564138, 0.735428, 0.035237
41, 6, BEN-STOKES, DARYL-MITCHELL, R, 80.577, 8.50, -0.33, 0.43, 1.07, 1.16, 1.26, 0, 0.000, 0.000, 14:54:59, 2022/06/10, -0.623475, 9.419767, -13.501728, -9.130764, M, A, -0.847490, 2.018639, 2.067256, 1.659383, 0.081250
42, 1, JAMES-ANDERSON, DEVON-CONWAY, L, 80.313, 7.99, 0.72, 0.70, 1.23, 1.15, 1.34, 0, 0.000, 0.000, 14:56:20, 2022/06/10, -0.716254, 10.769377, -13.478655, -8.134455, N, N, 1.087543, 2.019164, 2.709453, 0.088397, 0.119042
42, 2, JAMES-ANDERSON, DEVON-CONWAY, L, 79.942, 9.14, 0.59, -0.07, 1.22, -1.70, -0.22, 0, 0.000, 0.000, 14:56:56, 2022/06/10, -0.640740, 10.100727, -14.142909, -9.766288, P, D, 1.044537, 2.003635, -3.405296, 1.379527, -0.122177
42, 3, JAMES-ANDERSON, DEVON-CONWAY, L, 83.196, 7.35, 0.40, 0.02, 0.98, 1.70, -0.25, 0, 0.000, 0.000, 14:57:34, 2022/06/10, -0.647789, 9.130087, -13.001901, -7.414286, P, D, 1.070395, 2.026905, 4.054713, -0.239734, 0.191958
42, 4, JAMES-ANDERSON, DEVON-CONWAY, L, 80.007, 8.63, 0.57, 0.55, 1.33, 2.31, 0.81, 0, 0.000, 0.000, 14:58:12, 2022/06/10, -0.706763, 11.121716, -13.873985, -9.334780, N, N, 1.020109, 2.034687, 5.503393, 1.278719, 0.213560
42, 5, JAMES-ANDERSON, DEVON-CONWAY, L, 83.964, 5.67, 0.39, 0.30, 0.79, 2.19, 0.78, 0, 0.000, 0.000, 14:58:48, 2022/06/10, -0.675021, 8.987041, -12.246871, -5.666066, P, D, 1.010267, 2.030509, 4.352261, -0.670343, 0.272704
42, 6, JAMES-ANDERSON, DEVON-CONWAY, L, 83.083, 6.46, 0.46, 0.29, 0.89, 2.21, -0.09, -1, 0.000, 0.000, 14:59:20, 2022/06/10, -0.674772, 9.188497, -12.337412, -6.574131, E, D, 1.004484, 2.029095, 4.511596, 0.382344, 0.253937
43, 1, BEN-STOKES, DARYL-MITCHELL, R, 81.511, 7.06, -0.30, -0.12, 0.81, -2.65, 0.59, 0, 0.000, 0.000, 15:01:34, 2022/06/10, -0.584158, 8.140729, -12.921147, -6.941046, P, D, -0.747412, 2.020624, -5.273682, -0.100171, -0.280866
43, 2, BEN-STOKES, DARYL-MITCHELL, R, 83.324, 5.30, -0.63, -0.59, 0.64, -1.94, 0.67, 0, 0.000, 0.000, 15:02:07, 2022/06/10, -0.606525, 7.927449, -12.080593, -5.434022, P, A, -0.796862, 2.031623, -3.346603, -0.146735, -0.229418
43, 3, BEN-STOKES, DARYL-MITCHELL, R, 82.024, 7.77, -0.48, -0.39, 0.95, -2.72, -0.32, 0, 0.000, 0.000, 15:02:43, 2022/06/10, -0.614022, 8.759082, -13.173839, -7.840056, P, D, -0.918434, 2.016734, -5.938684, 0.238243, -0.269895
43, 4, BEN-STOKES, DARYL-MITCHELL, R, 80.088, 7.06, -0.32, -0.26, 0.85, -2.68, -0.65, 0, 0.000, 0.000, 15:03:23, 2022/06/10, -0.603938, 8.697726, -12.990339, -6.989864, P, D, -0.828604, 2.022968, -5.458575, -0.265008, -0.287044
43, 5, BEN-STOKES, DARYL-MITCHELL, R, 81.766, 8.24, -0.29, -0.09, 1.05, -0.70, -1.09, 0, 0.000, 0.000, 15:03:58, 2022/06/10, -0.644552, 9.351115, -13.177957, -8.968940, P, D, -0.780808, 2.022881, -1.959782, 2.232313, -0.080955
43, 6, BEN-STOKES, DARYL-MITCHELL, R, 82.749, 7.11, -0.38, -0.26, 0.93, -2.71, -0.57, 0, 0.000, 0.000, 15:04:34, 2022/06/10, -0.646036, 9.127844, -12.854889, -7.342211, E, A, -0.962922, 2.037222, -5.846612, 0.220735, -0.291032
43, 7, BEN-STOKES, DARYL-MITCHELL, R, 83.235, 5.71, -0.41, -0.45, 0.73, -3.87, -0.72, 0, 0.000, 0.000, 15:05:24, 2022/06/10, -0.639342, 8.442949, -12.016785, -5.884873, E, D, -0.924299, 2.018402, -7.185492, 0.217474, -0.452419
44, 1, JAMES-ANDERSON, TOM-BLUNDELL, R, 84.251, 6.50, -0.20, 0.26, 0.98, 2.39, 0.77, 0, 0.000, 0.000, 15:07:06, 2022/06/10, -0.716151, 9.954113, -12.527661, -6.583142, E, D, -0.593638, 2.037752, 4.190169, -0.123186, 0.231152
44, 2, JAMES-ANDERSON, TOM-BLUNDELL, R, 82.961, 7.01, -0.52, -0.53, 0.97, 0.47, -1.05, 0, 0.000, 0.000, 15:07:45, 2022/06/10, -0.681795, 9.299705, -12.417160, -7.590223, M, D, -0.657109, 2.054505, 0.819132, 1.550294, 0.040762
44, 3, JAMES-ANDERSON, TOM-BLUNDELL, R, 85.413, 4.03, -0.68, -0.63, 0.42, 0.41, 0.59, 4, 1.000, -166.000, 15:08:20, 2022/06/10, -0.511036, 6.324337, -11.398531, -4.709347, P, A, -0.688209, 2.053204, 0.644426, 0.320305, 0.050982
44, 4, JAMES-ANDERSON, TOM-BLUNDELL, R, 80.514, 8.03, -0.63, -0.52, 1.11, -0.61, 0.95, 0, 0.000, 0.000, 15:09:09, 2022/06/10, -0.674307, 9.872386, -12.955650, -8.808998, N, N, -0.658175, 2.034468, -1.336774, 2.355179, -0.056138
44, 5, JAMES-ANDERSON, TOM-BLUNDELL, R, 85.108, 3.53, -0.41, -0.34, 0.39, -0.46, 0.33, 0, 0.000, 0.000, 15:09:50, 2022/06/10, -0.566220, 6.370184, -10.563011, -5.173964, P, A, -0.675074, 2.075078, -0.856446, 2.783250, -0.073454
44, 6, JAMES-ANDERSON, TOM-BLUNDELL, R, 80.401, 6.45, -0.44, -0.59, 0.93, -3.67, -0.63, 0, 0.000, 0.000, 15:10:38, 2022/06/10, -0.740096, 9.689645, -11.791651, -7.440398, N, N, -0.696129, 2.060019, -6.761258, 3.317638, -0.394065
45, 1, BEN-STOKES, DARYL-MITCHELL, R, 81.789, 4.94, -0.49, -0.43, 0.56, -3.54, 0.64, 0, 0.000, 0.000, 15:11:32, 2022/06/10, -0.570476, 7.412336, -11.965727, -5.215053, P, A, -0.943411, 2.049605, -5.789532, 0.394351, -0.438174
45, 2, BEN-STOKES, DARYL-MITCHELL, R, 81.522, 8.72, -0.51, -0.35, 1.31, -2.77, 0.03, 0, 0.000, 0.000, 15:12:07, 2022/06/10, -0.677504, 10.953589, -14.284294, -8.695545, N, N, -0.918159, 1.996733, -6.508808, -1.202328, -0.249243
45, 3, BEN-STOKES, DARYL-MITCHELL, R, 81.313, 5.74, -0.75, -0.80, 0.72, -2.98, 0.23, 0, 0.000, 0.000, 15:12:43, 2022/06/10, -0.624913, 8.548387, -12.324537, -5.801574, N, N, -0.934305, 2.037675, -5.015129, 0.203982, -0.337495
45, 4, BEN-STOKES, DARYL-MITCHELL, R, 81.231, 8.42, -0.42, -0.22, 1.18, -2.33, -0.26, 0, 0.000, 0.000, 15:13:18, 2022/06/10, -0.647402, 10.165357, -14.053461, -8.647643, P, D, -0.907885, 2.035887, -5.542525, -0.631240, -0.220993
45, 5, BEN-STOKES, DARYL-MITCHELL, R, 80.349, 7.27, -0.37, 0.29, 0.89, 1.99, 0.91, 1, -60.000, 144.000, 15:13:52, 2022/06/10, -0.657994, 8.825855, -12.054119, -8.064386, P, A, -0.970644, 2.007729, 3.359529, 3.459764, 0.168815
45, 6, BEN-STOKES, TOM-BLUNDELL, R, 80.794, 9.17, -0.29, 0.10, 1.48, -1.61, -0.83, 1, -18.000, 97.000, 15:14:44, 2022/06/10, -0.686455, 11.506198, -14.930903, -9.284317, P, A, -0.936910, 2.019372, -4.471221, -2.190598, -0.152232
46, 1, JAMES-ANDERSON, TOM-BLUNDELL, R, 80.587, 8.18, -0.42, -0.63, 0.73, -3.50, -0.76, 0, 0.000, 0.000, 15:15:46, 2022/06/10, -0.521919, 7.257590, -12.715110, -9.304371, N, N, -0.623079, 2.028831, -7.322339, 4.291896, -0.319514
46, 2, JAMES-ANDERSON, TOM-BLUNDELL, R, 80.170, 6.52, -0.37, -0.36, 0.79, -2.49, -0.13, 0, 0.000, 0.000, 15:16:23, 2022/06/10, -0.636807, 8.311231, -11.929856, -7.267263, N, N, -0.677168, 2.057286, -4.592907, 2.886729, -0.272030
46, 3, JAMES-ANDERSON, TOM-BLUNDELL, R, 79.679, 6.79, -0.33, -0.38, 0.86, -2.54, -0.46, 0, 0.000, 0.000, 15:17:02, 2022/06/10, -0.649231, 8.860505, -12.291821, -7.377274, N, N, -0.604074, 2.052254, -4.827486, 2.146871, -0.269347
46, 4, JAMES-ANDERSON, TOM-BLUNDELL, R, 80.704, 6.67, -0.44, -0.45, 0.82, -3.86, -0.33, 0, 0.000, 0.000, 15:17:40, 2022/06/10, -0.667384, 8.481979, -11.605116, -7.535764, P, A, -0.917598, 2.022985, -7.397688, 3.702568, -0.415971
46, 5, JAMES-ANDERSON, TOM-BLUNDELL, R, 81.815, 8.12, -0.44, -0.46, 0.90, -3.08, 0.42, 0, 0.000, 0.000, 15:18:24, 2022/06/10, -0.584181, 8.347092, -13.082467, -8.907299, N, N, -0.631477, 2.036765, -6.693061, 2.424379, -0.283757
46, 6, JAMES-ANDERSON, TOM-BLUNDELL, R, 81.680, 7.18, -0.28, -0.29, 0.88, -2.25, -0.53, 0, 0.000, 0.000, 15:19:00, 2022/06/10, -0.626918, 8.593566, -12.451263, -7.772850, P, D, -0.608558, 2.045716, -4.637877, 2.072718, -0.234022
47, 1, BEN-STOKES, DARYL-MITCHELL, R, 80.586, 7.06, -0.44, -0.46, 0.96, -3.54, -0.37, 0, 0.000, 0.000, 15:19:58, 2022/06/10, -0.665651, 9.541011, -12.898706, -7.112098, N, N, -0.848473, 2.029334, -6.941193, 0.229174, -0.367804
47, 2, BEN-STOKES, DARYL-MITCHELL, R, 80.685, 6.86, -0.39, -0.31, 1.03, -2.32, -0.64, 0, 0.000, 0.000, 15:20:35, 2022/06/10, -0.711853, 10.201243, -12.981149, -6.720526, E, D, -0.882853, 2.030909, -4.689662, -0.577921, -0.255257
47, 3, BEN-STOKES, DARYL-MITCHELL, R, 82.628, 7.29, -0.61, -0.65, 0.93, -3.03, -0.15, 0, 0.000, 0.000, 15:21:10, 2022/06/10, -0.633466, 8.868743, -12.763994, -7.494772, N, N, -0.890651, 2.022329, -6.345092, 0.514025, -0.304788
47, 4, BEN-STOKES, DARYL-MITCHELL, R, 82.180, 6.10, -0.55, -0.55, 0.77, -4.21, 0.44, 0, 0.000, 0.000, 15:21:46, 2022/06/10, -0.636802, 8.555843, -12.374502, -6.089022, N, N, -0.909618, 2.023097, -7.597556, 0.032003, -0.468800
47, 5, BEN-STOKES, DARYL-MITCHELL, R, 82.879, 4.46, -0.46, -0.53, 0.52, -3.10, -0.71, 1, 54.000, -42.000, 15:22:22, 2022/06/10, -0.565566, 7.431826, -11.992285, -4.569888, P, A, -0.816628, 2.036436, -4.999724, -0.578281, -0.394965
47, 6, BEN-STOKES, TOM-BLUNDELL, R, 82.810, 6.40, -0.46, -0.35, 0.81, -2.89, 0.36, 0, 0.000, 0.000, 15:23:10, 2022/06/10, -0.635306, 8.616661, -12.436417, -6.388945, N, N, -0.890136, 2.016030, -5.645179, -0.082730, -0.321842
48, 1, JAMES-ANDERSON, DARYL-MITCHELL, R, 79.131, 8.00, -0.33, -0.13, 1.12, -2.36, -0.28, 0, 0.000, 0.000, 15:24:16, 2022/06/10, -0.697630, 9.966900, -12.987172, -8.795017, P, D, -0.860267, 2.051506, -5.134753, 2.873021, -0.235374
48, 2, JAMES-ANDERSON, DARYL-MITCHELL, R, 81.956, 5.20, -0.31, -0.26, 0.53, -2.45, -0.74, 2, 23.000, -74.000, 15:25:05, 2022/06/10, -0.536358, 6.734329, -11.591982, -6.074434, P, A, -0.891566, 2.086603, -4.276223, 2.190379, -0.310228
48, 3, JAMES-ANDERSON, DARYL-MITCHELL, R, 82.579, 6.47, -0.60, -0.65, 0.85, -2.35, -0.74, 4, 74.000, -114.000, 15:25:52, 2022/06/10, -0.684700, 8.957271, -11.839381, -7.378388, P, A, -0.922927, 2.060939, -4.453061, 3.100888, -0.258739
48, 4, JAMES-ANDERSON, DARYL-MITCHELL, R, 81.900, 7.26, -0.31, -0.36, 0.91, -2.60, -0.61, 2, -51.000, -22.000, 15:26:54, 2022/06/10, -0.664524, 8.738562, -12.014452, -8.111237, P, A, -0.634694, 2.034024, -5.267423, 3.656630, -0.265921
48, 5, JAMES-ANDERSON, DARYL-MITCHELL, R, 83.510, 5.93, -0.20, -0.18, 0.75, -2.20, -0.53, 1, -37.000, 9.000, 15:27:43, 2022/06/10, -0.666924, 8.371966, -11.529137, -6.832386, E, A, -0.596127, 2.055961, -4.138292, 2.845826, -0.257307
48, 6, JAMES-ANDERSON, TOM-BLUNDELL, R, 80.372, 7.25, -0.23, -0.21, 1.00, -2.24, -0.73, 0, 0.000, 0.000, 15:28:27, 2022/06/10, -0.671946, 9.475301, -12.819787, -7.467727, P, D, -0.633382, 2.037237, -4.673699, 0.717762, -0.234431
49, 1, BEN-STOKES, DARYL-MITCHELL, R, 81.508, 6.91, -0.43, -0.35, 0.84, -2.32, -0.42, 0, 0.000, 0.000, 15:29:26, 2022/06/10, -0.600205, 8.573831, -13.071816, -6.682781, N, N, -0.883741, 2.028691, -4.618096, -0.769899, -0.251534
49, 2, BEN-STOKES, DARYL-MITCHELL, R, 80.578, 8.06, -0.32, 0.12, 0.96, -1.67, 0.66, 0, 0.000, 0.000, 15:30:01, 2022/06/10, -0.565232, 8.938000, -14.386492, -7.216731, M, D, -0.902725, 1.999817, -3.852208, -3.444781, -0.173270
49, 3, BEN-STOKES, DARYL-MITCHELL, R, 82.899, 12.68, -0.54, -0.41, 2.16, -0.15, -1.91, 0, 0.000, 0.000, 15:30:36, 2022/06/10, -0.552908, 13.357542, -20.443267, -17.044923, N, N, -0.795996, 1.994970, -0.960913, -1.021790, -0.013077
49, 4, BEN-STOKES, DARYL-MITCHELL, R, 81.015, 5.77, -0.13, 0.20, 0.76, -2.01, 0.96, 0, 0.000, 0.000, 15:31:12, 2022/06/10, -0.644181, 8.888147, -12.650411, -5.687643, M, A, -0.880473, 2.046131, -3.796219, -0.455978, -0.256740
49, 5, BEN-STOKES, DARYL-MITCHELL, R, 81.915, 7.58, -0.67, -0.70, 0.93, -2.26, -0.31, 0, 0.000, 0.000, 15:31:56, 2022/06/10, -0.625815, 8.870956, -12.946476, -7.905107, N, N, -0.920815, 2.017761, -4.792637, 0.924723, -0.222877
49, 6, BEN-STOKES, DARYL-MITCHELL, R, 82.829, 6.66, -0.40, -0.43, 0.96, -3.14, -0.40, 0, 0.000, 0.000, 15:32:30, 2022/06/10, -0.717733, 9.859753, -12.409222, -6.947774, N, N, -0.778380, 2.025399, -6.063756, 1.027370, -0.338475
49, 7, BEN-STOKES, DARYL-MITCHELL, R, 80.369, 7.55, -0.67, -0.75, 1.10, -3.06, -0.08, 0, 0.000, 0.000, 15:33:06, 2022/06/10, -0.684460, 10.123994, -13.242658, -7.381335, N, N, -0.864394, 2.011368, -6.247297, -0.574837, -0.297899
50, 1, JACK-LEACH, TOM-BLUNDELL, R, 52.691, 5.20, -0.29, -0.39, 0.82, 0.60, -3.05, 1, 42.000, -70.000, 15:34:51, 2022/06/10, -0.594859, 13.174457, -17.999970, -0.384316, P, A, -0.676874, 2.145307, 0.293923, -1.735568, 0.050824
50, 2, JACK-LEACH, DARYL-MITCHELL, R, 52.793, 4.67, -0.01, 0.19, 0.81, 3.01, -1.64, 4, 80.000, 144.000, 15:35:27, 2022/06/10, -0.631634, 13.028839, -17.573019, -0.323738, P, A, -0.602071, 2.165334, 1.770546, -1.028660, 0.331017
50, 3, JACK-LEACH, DARYL-MITCHELL, R, 51.168, 5.36, -0.40, -0.65, 0.82, -0.97, -3.53, 1, 42.000, -68.000, 15:36:12, 2022/06/10, -0.571979, 13.500640, -18.958988, 0.282980, P, A, -0.709988, 2.156452, -0.703126, -2.316161, -0.125755
50, 4, JACK-LEACH, TOM-BLUNDELL, R, 52.718, 5.36, -0.25, -0.22, 0.85, 1.33, -2.26, 0, 0.000, 0.000, 15:36:32, 2022/06/10, -0.598072, 13.337632, -18.013649, -0.396259, P, D, -0.652195, 2.137619, 0.779984, -1.911299, 0.131343
50, 5, JACK-LEACH, TOM-BLUNDELL, R, 51.904, 5.09, -0.20, -0.37, 0.80, 0.25, -3.91, 0, 0.000, 0.000, 15:36:45, 2022/06/10, -0.581166, 13.689358, -18.032157, -0.254914, P, D, -0.653810, 2.158623, 0.039685, -1.393150, 0.007199
50, 6, JACK-LEACH, TOM-BLUNDELL, R, 57.414, 5.63, -0.26, -0.26, 0.89, 1.26, -2.43, 0, 0.000, 0.000, 15:37:16, 2022/06/10, -0.633770, 12.489816, -16.511715, -1.927215, P, A, -0.666771, 2.092824, 0.891714, -1.803901, 0.121423
51, 1, BEN-STOKES, DARYL-MITCHELL, R, 81.030, 5.64, -0.36, -0.38, 0.67, -3.80, -0.43, 0, 0.000, 0.000, 15:38:16, 2022/06/10, -0.603942, 8.021006, -12.050998, -6.128209, P, D, -0.857897, 2.063494, -6.713414, 1.071590, -0.447003
51, 2, BEN-STOKES, DARYL-MITCHELL, R, 81.209, 8.99, -0.23, 0.10, 1.13, -2.04, -0.51, 1, -89.000, 99.000, 15:38:54, 2022/06/10, -0.594401, 9.670405, -14.563009, -9.237765, P, A, -0.830783, 2.020054, -5.077260, -0.619626, -0.188854
51, 3, BEN-STOKES, TOM-BLUNDELL, R, 82.207, 6.72, -0.41, -0.38, 0.80, -3.44, -0.18, 0, 0.000, 0.000, 15:39:40, 2022/06/10, -0.598172, 8.344783, -12.725265, -6.750007, N, N, -0.866712, 2.033523, -6.844204, -0.189518, -0.370851
51, 4, BEN-STOKES, TOM-BLUNDELL, R, 81.345, 7.72, -0.20, 0.01, 0.87, -2.60, -0.48, 1, 15.000, 60.000, 15:40:14, 2022/06/10, -0.559462, 8.406466, -13.482164, -7.393000, P, A, -0.816316, 1.997803, -5.814495, -1.291152, -0.267108
51, 5, BEN-STOKES, DARYL-MITCHELL, R, 80.992, 8.16, -0.43, -0.30, 1.04, -2.64, -0.31, 0, 0.000, 0.000, 15:40:56, 2022/06/10, -0.608978, 9.302362, -13.723642, -8.036009, P, D, -0.890804, 2.007060, -6.046317, -1.001071, -0.253506
51, 6, BEN-STOKES, DARYL-MITCHELL, R, 82.317, 7.94, -0.30, -0.06, 1.03, -1.21, -0.84, 0, 0.000, 0.000, 15:41:35, 2022/06/10, -0.618110, 9.249760, -13.491397, -7.942984, P, D, -0.872938, 2.020433, -3.098747, -0.637568, -0.133104
52, 1, JACK-LEACH, TOM-BLUNDELL, R, 52.243, 3.03, 0.06, 0.12, 0.50, 1.98, -2.70, 0, 0.000, 0.000, 16:01:14, 2022/06/10, -0.544470, 10.731230, -17.614281, 1.258618, P, D, -0.657775, 2.180560, 0.943099, -0.561579, 0.226071
52, 2, JACK-LEACH, TOM-BLUNDELL, R, 50.054, 5.25, -0.26, -0.36, 0.66, 1.24, -3.50, 0, 0.000, 0.000, 16:01:50, 2022/06/10, -0.508005, 11.993677, -18.912163, 0.506677, P, A, -0.669233, 2.152770, 0.645934, -1.801211, 0.122809
52, 3, JACK-LEACH, TOM-BLUNDELL, R, 54.276, 3.61, -0.32, -0.31, 0.78, 1.82, -2.01, 1, 7.000, -130.000, 16:02:11, 2022/06/10, -0.746875, 14.095598, -15.992380, -0.489549, P, A, -0.645916, 2.138193, 1.050265, 0.421734, 0.217202
52, 4, JACK-LEACH, DARYL-MITCHELL, R, 55.069, 5.02, -0.07, -0.01, 0.78, 1.33, -2.35, 0, 0.000, 0.000, 16:02:59, 2022/06/10, -0.644881, 12.084579, -16.020621, -1.951805, P, D, -0.633587, 2.129149, 0.787421, 0.067595, 0.128502
52, 5, JACK-LEACH, DARYL-MITCHELL, R, 54.601, 6.58, -0.13, -0.05, 1.05, 1.43, -2.36, 0, 0.000, 0.000, 16:03:17, 2022/06/10, -0.675966, 13.695853, -17.113044, -2.886694, P, D, -0.610388, 2.119607, 0.988229, -1.350026, 0.126660
52, 6, JACK-LEACH, DARYL-MITCHELL, R, 56.525, 3.38, -0.13, -0.15, 0.65, 0.29, -2.05, 0, 0.000, 0.000, 16:03:33, 2022/06/10, -0.721296, 12.105556, -15.582370, -0.788667, P, D, -0.550403, 2.140570, 0.075537, 0.302760, 0.014885
53, 1, MATTY-POTTS, TOM-BLUNDELL, R, 81.127, 7.31, -0.53, -0.44, 0.91, -1.02, -0.10, 0, 0.000, 0.000, 16:04:44, 2022/06/10, -0.642472, 8.942122, -12.657504, -7.631010, P, D, -0.789186, 2.021102, -2.111216, 1.651726, -0.109105
53, 2, MATTY-POTTS, TOM-BLUNDELL, R, 79.421, 7.28, -0.49, -0.42, 0.86, -3.02, -0.29, 0, 0.000, 0.000, 16:05:27, 2022/06/10, -0.606244, 8.765607, -13.081364, -7.597350, N, N, -0.944317, 2.062862, -5.743104, 1.222114, -0.312655
53, 3, MATTY-POTTS, TOM-BLUNDELL, R, 78.547, 7.64, -0.53, -0.38, 0.81, -3.68, 1.15, 0, 0.000, 0.000, 16:06:01, 2022/06/10, -0.562352, 8.349728, -13.207591, -7.738255, N, N, -0.963319, 2.018828, -6.986374, 1.108076, -0.363571
53, 4, MATTY-POTTS, TOM-BLUNDELL, R, 81.897, 5.31, -0.46, -0.30, 0.61, -0.62, -0.29, 1, -35.000, -40.000, 16:06:37, 2022/06/10, -0.632706, 7.720136, -11.408180, -6.072770, P, A, -0.990180, 2.028237, -1.342969, 2.394205, -0.095677
